reference,description,cost,units
230M3000,รางลิ้นชักรับใต้ตอนเดียวเคลือบอิพ๊อกซี่สีครีม ยาว 30ซม./12นิ้ว,149.00,ชุด
230M3500,รางลิ้นชักรับใต้ตอนเดียวเคลือบอิพ๊อกซี่สีครีม ยาว 35ซม./14นิ้ว,149.00,ชุด
230M4000,รางลิ้นชักรับใต้ตอนเดียวเคลือบอิพ๊อกซี่สีครีม ยาว 40ซม./16นิ้ว,155.00,ชุด
230M4500,รางลิ้นชักรับใต้ตอนเดียวเคลือบอิพ๊อกซี่สีครีม ยาว 45ซม./18นิ้ว,159.00,ชุด
230M5000,รางลิ้นชักรับใต้ตอนเดียวเคลือบอิพ๊อกซี่สีครีม ยาว 50ซม./20นิ้ว,165.00,ชุด
230M5500,รางลิ้นชักรับใต้ตอนเดียวเคลือบอิพ๊อกซี่สีครีม ยาว 55ซม./22นิ้ว,189.00,ชุด
296.45,เหล็กฉากยึดหน้าบานเคลือบอิพ๊อกซี่สีครีม ด้านซ้าย/ขวา,309.00,ชุด
430E3500V,รางลิ้นชักสองตอนรับใต้เคลือบอิพ๊อกซี่สีครีม ยาว 35ซม./14นิ้ว,679.00,ชุด
430E4000V,รางลิ้นชักสองตอนรับใต้เคลือบอิพ๊อกซี่สีครีม ยาว 40ซม./16นิ้ว,689.00,ชุด
430E4500V,รางลิ้นชักสองตอนรับใต้เคลือบอิพ๊อกซี่สีครีม ยาว 45ซม./18นิ้ว,709.00,ชุด
430E5000V,รางลิ้นชักสองตอนรับใต้เคลือบอิพ๊อกซี่สีครีม ยาว 50ซม./20นิ้ว,729.00,ชุด
270E4500.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 45ซม./18นิ้ว,"1,145.00",ข้าง
270E4500.03,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านขวา ยาว 45ซม./18นิ้ว,"1,145.00",ข้าง
270E5000.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 50ซม./20นิ้ว,"1,150.00",ข้าง
270E5000.03,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านขวา ยาว 50ซม./20นิ้ว,"1,150.00",ข้าง
270E5500.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 55ซม./22นิ้ว,"1,155.00",ข้าง
270E5500.03,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านขวา ยาว 55ซม./22นิ้ว,"1,155.00",ข้าง
270E6000.02,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านซ้าย ยาว 60ซม./24นิ้ว,"1,160.00",ข้าง
270E6000.03,รางเลื่อนแบบซ่อนเก็บหน้าบานได้ ด้านขวา ยาว 60ซม./24นิ้ว,"1,160.00",ข้าง
48N0510.02,ตัวแขวนตู้ลอยทำด้วยไนลอนสีครีม ด้านขวา,55.00,อัน
48N0510.03,ตัวแขวนตู้ลอยทำด้วยไนลอนสีครีม ด้านซ้าย,55.00,อัน
BC090,แผ่นเหล็กใช้แขวนตัวแขวนตู้,6.50,อัน
42.0700.01,อุปกรณ์แยกชิ้นส่วนสีน้ำตาล  Ø 25มม. พร้อมเดือยเหล็ก M5 ยาว 27มม.,14.00,ชุด
42.0110.01,อุปกรณ์แยกชิ้นส่วนสีครีม Ø 25มม.,9.00,ตัว
42.072,เดือยเหล็ก M5 ยาว 27มม.,5.00,ตัว
*40.4001B,อุปกรณ์แยกชิ้นส่วนสีน้ำตาล  Ø 28มม. (รับชั้น),5.00,ตัว
*41.5400B,ผ้าปิดพลาสติกสีน้ำตาล,2.00,ตัว
*653.1450,เดือยเหล็ก M6 ยาว 14.50มม.,8.50,ตัว
*41.1100,ปุ๊กไนลอน Ø 10มม. ยาว 11.50มม.,2.00,ตัว
*46.1100,ขาตู้ปรับระดับได้ สูง 10ซม. พร้อมกับ 46.1004 CLIP และ 46.1005 PLATE,50.00,ชุด
295.1,ตัวปรับหน้าบานลิ้นชักแบบเจาะฝัง Ø 20มม. (ไม่รวมสกูร),17.00,อัน
*320M0048,ตัวเสริมพลาสติกสีครีมหนา 4มม. ใช้หนุนรางลิ้นชัก,8.75,อัน
298.22,ตัวป้องกันหน้าบานใช้กับลิ้นชักแบบ Pull-out Surround (สินค้าสั่งพิเศษ),135.00,อัน
661.1150.HG,สกูรยึดรางลิ้นชัก รู Ø 6มม. หัวสกูร Ø 8มม. ยาว 11.50มม.,1.75,ตัว
662.1150.HG,สกูรยึดรางลิ้นชัก รู Ø 6มม. หัวสกูร Ø 7มม. ยาว 11.50มม.,1.75,ตัว
320M2700C,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 27ซม./10.50นิ้ว (ซ้าย/ขวา)         พร้อมตัวยึดฯ และฝาปิด,367.00,ชุด
320M3500C,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 35ซม./14นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ และฝาปิด,367.00,ชุด
320M4000C,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 40ซม./16นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ และฝาปิด,373.00,ชุด
320M4500C,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 45ซม./18นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ และฝาปิด,383.00,ชุด
320M5000C,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 50ซม./20นิ้ว (ซ้าย/ขวา)               พร้อมตัวยึดฯ และฝาปิด,388.00,ชุด
320M5000C.WA,รางฯตอนเดียวพร้อมข้างลิ้นชักสีเทา  ยาว 50ซม./20นิ้ว (ซ้าย/ขวา)          พร้อมตัวยึดฯ และฝาปิด,406.00,ชุด
320M2700C+IN,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 27ซม./10.50นิ้ว (ซ้าย/ขวา)         พร้อมตัวยึดฯ ,413.00,ชุด
320M3500C+IN,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 35ซม./14นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,413.00,ชุด
320M4000C+IN,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 40ซม./16นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,419.00,ชุด
320M4500C+IN,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 45ซม./18นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,429.00,ชุด
320M5000C+IN,รางฯตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 50ซม./20นิ้ว (ซ้าย/ขวา)               พร้อมตัวยึดฯ ,434.00,ชุด
320N4500C,รางลิ้นชักตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 45ซม./18นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,495.00,ชุด
320N5000C,รางลิ้นชักตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 50ซม./20นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,505.00,ชุด
320N4500C+IN,รางลิ้นชักตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 45ซม./18นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,471.00,ชุด
320N5000C+IN,รางลิ้นชักตอนเดียวพร้อมข้างลิ้นชักสีครีม ยาว 50ซม./20นิ้ว (ซ้าย/ขวา)              พร้อมตัวยึดฯ ,481.00,ชุด
ZSF.1510.04/ZSF.1510.05,ตัวยึดหน้าบานทำด้วยเหล็กชุบนิกเกิล ด้านขวา/ซ้ายใช้กับ 320N                         2x77 = ,154.00,คู่
ZSF.1700.04/ZSF.1700.05,ตัวยึดหน้าบานทำด้วยเหล็กชุบนิกเกิล ด้านขวา/ซ้ายใช้กับ 320M                     2x77 = ,54.00,คู่
ZIF.3000.02/ZIF.3000.03,ตัวยึดหน้าบานทำด้วยไนลอนสีครีม ขวา/ซ้ายใช้กับ 320M ลิ้นชักซ่อน          2x58 = ,116.00,คู่
ZIF.3010.02/ZIF.3010.03,ตัวยึดหน้าบานทำด้วยไนลอนสีครีม ขวา/ซ้ายใช้กับ 320N  ลิ้นชักซ่อน          2x65 = ,130.00,คู่
ZAA.3500,ฝาปิดพลาสติกสีครีม,8.00,อัน
ZAA.3500.WA,ฝาปิดพลาสติกเทา,8.00,อัน
*ZSD.1200S,คิ้วพีวีซีสีครีม / Controured Profile ยาวเส้นละ 1.20ม. สามารถตัดได้,99.00,ชุด
*ZRE.371S.ID,ชุดราวเสริมข้างลิ้นชักสีครีมใช้กับรางยาว 40ซม.,235.00,ชุด
ZRE.421S.ID,ชุดราวเสริมข้างลิ้นชักสีครีมใช้กับรางยาว 45ซม.,240.00,ชุด
ZRE.471S.ID,ชุดราวเสริมข้างลิ้นชักสีครีมใช้กับรางยาว 50ซม.,250.00,ชุด
ZRG.1104U,ราวกั้นตามขวางสีครีม ยาว 1104มม. สามรถตัดได้,146.00,เส้น
ZRU.00F0,ตัวกั้นขวดสีครีม,31.00,อัน
ZRU.00Z0.01,ตัวแบ่งช่องตามขวาง สีครีม,60.00,อัน
ZTU.00D0,หลักยึดราว 3ชั้น สูง 137มม. สีครีม,78.00,อัน
ZTU.00Z0,หลักยึดราว 2ชั้น สูง 87มม. สีครีม,63.00,อัน
ZRM.5500,ชุดราวแขวนแฟ้มสีครีม ยาว 55ซม. สามารถตัดได้,455.00,ชุด
ZRE.471S.WA,ชุดราวเสริมข้างลิ้นชักสีเทาใช้กับราวยาว 50ซม.,265.00,ชุด
ZRG.1094U.WA,ราวกั้นตามขวางสีเทา ยาว 1094มม. สามารถตัดได้,120.00,เส้น
ZRU.00F0.G,ตัวกั้นขวดสีเทา,31.00,อัน
ZRU.00Z0.01G,ตัวกั้นแบ่งช่องตามขวาง สีเทา,60.00,อัน
ZTU.00D0.G,หลักยึดราว 3ชั้น สูง 137มม. สีเทา,78.00,อัน
ZTU.00Z0.G,หลักยึดราว 2ชั้น สูง 87มม. สีเทา,63.00,อัน
550H2700.03,รางตอนเดียว ยาว 27ซม/10.50นิ้ว     (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,415.00,ชุด
550H3000.03,รางตอนเดียว ยาว 30ซม/12นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,415.00,ชุด
550H3500.03,รางตอนเดียว ยาว 35ซม/14นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,415.00,ชุด
550H4000.03,รางตอนเดียว ยาว 40ซม/16นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,425.00,ชุด
550H4500.03,รางตอนเดียว ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,436.00,ชุด
550H5000.03,รางตอนเดียว ยาว 50ซม/20นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,446.00,ชุด
560H2700C,รางฯสองตอน ยาว 27ซม/10.50นิ้ว     (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,761.00,ชุด
560H3000C,รางฯสองตอน ยาว 30ซม/12นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,761.00,ชุด
560H3500C,รางฯสองตอน ยาว 35ซม/14นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,761.00,ชุด
560H4000C,รางฯสองตอน ยาว 40ซม/16นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,771.00,ชุด
560H4500C,รางฯสองตอน ยาว 45ซม/18นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,781.00,ชุด
560H5000C,รางฯสองตอน ยาว 50ซม/20นิ้ว          (ซ้าย/ขวา) ไม่มี BLUEMOTION พร้อมตัวล็อกกล่องลิ้นชักสีส้ม,801.00,ชุด
