Model,Configuration,lumber,plywood: 2654,MDF,Veneer,nails,,staple,glue,fabric,thread,foam,foam glue: 2501,fiber padding (100g): 2509,fiber padding (200g): 2697,fiber ball: 2584,duck down,goose down,legs,base,Webbing:4874,packing,carpenter,seamstress,foam labor,Upholster labor,Packing labor,Labor Total,Manufacture total,Overhead,50% profit ,30% profit,Retail
AC-2042,Left One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2042,Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2042,Ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2042,Right One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2042,Right One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2042,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Armless Chair with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Armless Chair with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Armless Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Armless Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Armless Loveseat with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Corner Bumper with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Left One-Arm Chair with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Left One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Left One-Arm Sofa with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Right One-Arm Chair with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Right One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Right One-Arm Sofa with Table,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Round Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2043,Square Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
